"","poll_date","votes","candidate","source","type"
"13182","2015-07-26",23,"Rubio","Huffington Post","disapproval"
"13183","2015-07-26",42,"Rubio","Huffington Post","disapproval"
"13184","2015-07-23",28,"Rubio","Huffington Post","disapproval"
"13185","2015-07-22",27,"Rubio","Huffington Post","disapproval"
"13186","2015-07-20",40,"Rubio","Huffington Post","disapproval"
"13187","2015-07-08",23,"Rubio","Huffington Post","disapproval"
"13188","2015-07-18",33,"Rubio","Huffington Post","disapproval"
"13189","2015-07-17",31,"Rubio","Huffington Post","disapproval"
"13190","2015-07-11",39,"Rubio","Huffington Post","disapproval"
"13191","2015-07-09",28,"Rubio","Huffington Post","disapproval"
"13192","2015-07-09",31,"Rubio","Huffington Post","disapproval"
"13193","2015-06-27",38,"Rubio","Huffington Post","disapproval"
"13194","2015-06-20",39,"Rubio","Huffington Post","disapproval"
"13195","2015-06-14",24,"Rubio","Huffington Post","disapproval"
"13196","2015-06-13",38,"Rubio","Huffington Post","disapproval"
"13197","2015-06-11",36,"Rubio","Huffington Post","disapproval"
"13198","2015-06-06",33,"Rubio","Huffington Post","disapproval"
"13199","2015-05-30",36,"Rubio","Huffington Post","disapproval"
"13200","2015-05-28",31,"Rubio","Huffington Post","disapproval"
"13201","2015-05-19",24,"Rubio","Huffington Post","disapproval"
"13202","2015-05-23",34,"Rubio","Huffington Post","disapproval"
"13203","2015-05-16",36,"Rubio","Huffington Post","disapproval"
"13204","2015-05-09",27,"Rubio","Huffington Post","disapproval"
"13205","2015-05-09",36,"Rubio","Huffington Post","disapproval"
"13206","2015-05-02",36,"Rubio","Huffington Post","disapproval"
"13207","2015-04-26",23,"Rubio","Huffington Post","disapproval"
"13208","2015-04-25",35,"Rubio","Huffington Post","disapproval"
"13209","2015-04-23",27,"Rubio","Huffington Post","disapproval"
"13210","2015-04-16",25,"Rubio","Huffington Post","disapproval"
"13211","2015-04-18",38,"Rubio","Huffington Post","disapproval"
"13212","2015-04-11",35,"Rubio","Huffington Post","disapproval"
"13213","2015-04-06",27,"Rubio","Huffington Post","disapproval"
"13214","2015-04-04",33,"Rubio","Huffington Post","disapproval"
"13215","2015-03-29",25,"Rubio","Huffington Post","disapproval"
"13216","2015-03-26",40,"Rubio","Huffington Post","disapproval"
"13217","2015-03-28",32,"Rubio","Huffington Post","disapproval"
"13218","2015-03-26",38,"Rubio","Huffington Post","disapproval"
"13219","2015-03-21",33,"Rubio","Huffington Post","disapproval"
"13220","2015-03-14",36,"Rubio","Huffington Post","disapproval"
"13221","2015-03-13",26,"Rubio","Huffington Post","disapproval"
"13222","2015-03-07",33,"Rubio","Huffington Post","disapproval"
"13223","2015-03-02",21,"Rubio","Huffington Post","disapproval"
"13224","2015-02-28",33,"Rubio","Huffington Post","disapproval"
"13225","2015-02-26",22,"Rubio","Huffington Post","disapproval"
"13226","2015-02-21",30,"Rubio","Huffington Post","disapproval"
"13227","2015-02-20",32,"Rubio","Huffington Post","disapproval"
"13228","2015-02-07",30,"Rubio","Huffington Post","disapproval"
"13229","2015-01-31",36,"Rubio","Huffington Post","disapproval"
"13230","2015-01-24",30,"Rubio","Huffington Post","disapproval"
"13231","2015-01-17",35,"Rubio","Huffington Post","disapproval"
"13232","2015-01-10",37,"Rubio","Huffington Post","disapproval"
"13233","2015-01-03",34,"Rubio","Huffington Post","disapproval"
"13234","2014-12-27",38,"Rubio","Huffington Post","disapproval"
"13235","2014-12-20",34,"Rubio","Huffington Post","disapproval"
"13236","2014-12-13",40,"Rubio","Huffington Post","disapproval"
"13237","2014-12-06",36,"Rubio","Huffington Post","disapproval"
"13238","2014-11-22",35,"Rubio","Huffington Post","disapproval"
"13239","2014-11-15",35,"Rubio","Huffington Post","disapproval"
"13240","2014-11-14",19,"Rubio","Huffington Post","disapproval"
"13241","2014-11-08",35,"Rubio","Huffington Post","disapproval"
"13242","2014-11-01",36,"Rubio","Huffington Post","disapproval"
"13243","2014-10-25",34,"Rubio","Huffington Post","disapproval"
"13244","2014-10-18",32,"Rubio","Huffington Post","disapproval"
"13245","2014-10-11",38,"Rubio","Huffington Post","disapproval"
"13246","2014-10-04",34,"Rubio","Huffington Post","disapproval"
"13247","2014-09-27",37,"Rubio","Huffington Post","disapproval"
"13248","2014-09-20",33,"Rubio","Huffington Post","disapproval"
"13249","2014-09-13",35,"Rubio","Huffington Post","disapproval"
"13250","2014-09-06",34,"Rubio","Huffington Post","disapproval"
"13251","2014-09-03",21,"Rubio","Huffington Post","disapproval"
"13252","2014-08-30",37,"Rubio","Huffington Post","disapproval"
"13253","2014-08-23",37,"Rubio","Huffington Post","disapproval"
"13254","2014-08-16",36,"Rubio","Huffington Post","disapproval"
"13255","2014-08-09",34,"Rubio","Huffington Post","disapproval"
"13256","2014-08-02",36,"Rubio","Huffington Post","disapproval"
"13257","2014-07-26",38,"Rubio","Huffington Post","disapproval"
"13258","2014-07-19",36,"Rubio","Huffington Post","disapproval"
"13259","2014-07-12",38,"Rubio","Huffington Post","disapproval"
"13260","2014-07-07",19,"Rubio","Huffington Post","disapproval"
"13261","2014-07-05",35,"Rubio","Huffington Post","disapproval"
"13262","2014-06-28",39,"Rubio","Huffington Post","disapproval"
"13263","2014-06-24",25,"Rubio","Huffington Post","disapproval"
"13264","2014-06-21",37,"Rubio","Huffington Post","disapproval"
"13265","2014-06-14",39,"Rubio","Huffington Post","disapproval"
"13266","2014-06-07",34,"Rubio","Huffington Post","disapproval"
"13267","2014-05-10",41,"Rubio","Huffington Post","disapproval"
"13268","2014-05-03",32,"Rubio","Huffington Post","disapproval"
"13269","2014-04-26",32,"Rubio","Huffington Post","disapproval"
"13270","2014-03-22",33,"Rubio","Huffington Post","disapproval"
"13271","2014-03-20",27,"Rubio","Huffington Post","disapproval"
"13272","2014-03-06",35,"Rubio","Huffington Post","disapproval"
"13273","2014-02-22",36,"Rubio","Huffington Post","disapproval"
"13274","2014-01-11",39,"Rubio","Huffington Post","disapproval"
"13275","2013-12-14",43,"Rubio","Huffington Post","disapproval"
"13276","2013-12-03",25,"Rubio","Huffington Post","disapproval"
"13277","2013-10-26",36,"Rubio","Huffington Post","disapproval"
"13278","2013-07-25",26,"Rubio","Huffington Post","disapproval"
"13279","2013-07-17",20,"Rubio","Huffington Post","disapproval"
"13280","2013-06-22",25,"Rubio","Huffington Post","disapproval"
"13281","2013-06-20",35,"Rubio","Huffington Post","disapproval"
"13282","2013-06-01",22,"Rubio","Huffington Post","disapproval"
"13283","2013-05-31",22,"Rubio","Huffington Post","disapproval"
"13284","2013-05-06",33,"Rubio","Huffington Post","disapproval"
"13285","2013-04-05",16,"Rubio","Huffington Post","disapproval"
"13286","2013-03-27",30,"Rubio","Huffington Post","disapproval"
"13287","2013-02-25",19,"Rubio","Huffington Post","disapproval"
"13288","2013-02-21",17,"Rubio","Huffington Post","disapproval"
"13289","2013-02-14",29,"Rubio","Huffington Post","disapproval"
"13290","2013-01-30",15,"Rubio","Huffington Post","disapproval"
"13291","2013-01-17",32,"Rubio","Huffington Post","disapproval"
"13292","2013-01-03",27,"Rubio","Huffington Post","disapproval"
"13293","2012-11-30",27,"Rubio","Huffington Post","disapproval"
"13294","2016-07-31",53,"Cruz","Huffington Post","disapproval"
"13295","2016-07-31",58,"Cruz","Huffington Post","disapproval"
"13296","2016-07-22",50,"Cruz","Huffington Post","disapproval"
"13297","2016-07-22",57,"Cruz","Huffington Post","disapproval"
"13298","2016-07-18",76,"Cruz","Huffington Post","disapproval"
"13299","2016-05-06",58,"Cruz","Huffington Post","disapproval"
"13300","2016-04-29",55,"Cruz","Huffington Post","disapproval"
"13301","2016-04-28",53,"Cruz","Huffington Post","disapproval"
"13302","2016-04-26",56,"Cruz","Huffington Post","disapproval"
"13303","2016-04-22",58,"Cruz","Huffington Post","disapproval"
"13304","2016-04-22",60,"Cruz","Huffington Post","disapproval"
"13305","2016-04-20",58,"Cruz","Huffington Post","disapproval"
"13306","2016-04-20",52,"Cruz","Huffington Post","disapproval"
"13307","2016-04-17",55,"Cruz","Huffington Post","disapproval"
"13308","2016-04-15",53,"Cruz","Huffington Post","disapproval"
"13309","2016-04-10",49,"Cruz","Huffington Post","disapproval"
"13310","2016-04-08",48,"Cruz","Huffington Post","disapproval"
"13311","2016-04-08",52,"Cruz","Huffington Post","disapproval"
"13312","2016-04-08",55,"Cruz","Huffington Post","disapproval"
"13313","2016-04-06",53,"Cruz","Huffington Post","disapproval"
"13314","2016-03-31",59,"Cruz","Huffington Post","disapproval"
"13315","2016-04-01",51,"Cruz","Huffington Post","disapproval"
"13316","2016-03-30",57,"Cruz","Huffington Post","disapproval"
"13317","2016-03-26",57,"Cruz","Huffington Post","disapproval"
"13318","2016-03-24",58,"Cruz","Huffington Post","disapproval"
"13319","2016-03-24",52,"Cruz","Huffington Post","disapproval"
"13320","2016-03-17",52,"Cruz","Huffington Post","disapproval"
"13321","2016-03-17",50,"Cruz","Huffington Post","disapproval"
"13322","2016-03-20",53,"Cruz","Huffington Post","disapproval"
"13323","2016-03-19",55,"Cruz","Huffington Post","disapproval"
"13324","2016-03-18",50,"Cruz","Huffington Post","disapproval"
"13325","2016-03-16",47,"Cruz","Huffington Post","disapproval"
"13326","2016-03-17",54,"Cruz","Huffington Post","disapproval"
"13327","2016-03-17",43,"Cruz","Huffington Post","disapproval"
"13328","2016-03-16",46,"Cruz","Huffington Post","disapproval"
"13329","2016-03-11",48,"Cruz","Huffington Post","disapproval"
"13330","2016-03-10",55,"Cruz","Huffington Post","disapproval"
"13331","2016-03-04",52,"Cruz","Huffington Post","disapproval"
"13332","2016-03-03",45,"Cruz","Huffington Post","disapproval"
"13333","2016-03-03",51,"Cruz","Huffington Post","disapproval"
"13334","2016-02-29",64,"Cruz","Huffington Post","disapproval"
"13335","2016-02-26",50,"Cruz","Huffington Post","disapproval"
"13336","2016-02-26",52,"Cruz","Huffington Post","disapproval"
"13337","2016-02-24",48,"Cruz","Huffington Post","disapproval"
"13338","2016-02-24",54,"Cruz","Huffington Post","disapproval"
"13339","2016-02-15",50,"Cruz","Huffington Post","disapproval"
"13340","2016-02-14",43,"Cruz","Huffington Post","disapproval"
"13341","2016-02-11",46,"Cruz","Huffington Post","disapproval"
"13342","2016-02-11",47,"Cruz","Huffington Post","disapproval"
"13343","2016-02-10",45,"Cruz","Huffington Post","disapproval"
"13344","2016-02-10",49,"Cruz","Huffington Post","disapproval"
"13345","2016-02-03",47,"Cruz","Huffington Post","disapproval"
"13346","2016-02-03",52,"Cruz","Huffington Post","disapproval"
"13347","2016-02-02",42,"Cruz","Huffington Post","disapproval"
"13348","2016-02-02",51,"Cruz","Huffington Post","disapproval"
"13349","2016-02-02",42,"Cruz","Huffington Post","disapproval"
"13350","2016-01-29",47,"Cruz","Huffington Post","disapproval"
"13351","2016-01-27",44,"Cruz","Huffington Post","disapproval"
"13352","2016-01-21",46,"Cruz","Huffington Post","disapproval"
"13353","2016-01-21",37,"Cruz","Huffington Post","disapproval"
"13354","2016-01-20",45,"Cruz","Huffington Post","disapproval"
"13355","2016-01-15",44,"Cruz","Huffington Post","disapproval"
"13356","2016-01-14",41,"Cruz","Huffington Post","disapproval"
"13357","2016-01-08",41,"Cruz","Huffington Post","disapproval"
"13358","2016-01-06",43,"Cruz","Huffington Post","disapproval"
"13359","2015-12-31",39,"Cruz","Huffington Post","disapproval"
"13360","2015-12-18",44,"Cruz","Huffington Post","disapproval"
"13361","2015-12-17",39,"Cruz","Huffington Post","disapproval"
"13362","2015-12-17",44,"Cruz","Huffington Post","disapproval"
"13363","2015-12-16",33,"Cruz","Huffington Post","disapproval"
"13364","2015-12-16",48,"Cruz","Huffington Post","disapproval"
"13365","2015-12-11",40,"Cruz","Huffington Post","disapproval"
"13366","2015-12-06",35,"Cruz","Huffington Post","disapproval"
"13367","2015-12-04",41,"Cruz","Huffington Post","disapproval"
"13368","2015-12-08",47,"Cruz","Huffington Post","disapproval"
"13369","2015-12-03",37,"Cruz","Huffington Post","disapproval"
"13370","2015-12-03",37,"Cruz","Huffington Post","disapproval"
"13371","2015-12-02",43,"Cruz","Huffington Post","disapproval"
"13372","2015-11-15",29,"Cruz","Huffington Post","disapproval"
"13373","2015-11-23",33,"Cruz","Huffington Post","disapproval"
"13374","2015-11-19",43,"Cruz","Huffington Post","disapproval"
"13375","2015-11-16",45,"Cruz","Huffington Post","disapproval"
"13376","2015-11-13",40,"Cruz","Huffington Post","disapproval"
"13377","2015-11-06",41,"Cruz","Huffington Post","disapproval"
"13378","2015-11-05",41,"Cruz","Huffington Post","disapproval"
"13379","2015-11-05",39,"Cruz","Huffington Post","disapproval"
"13380","2015-11-04",44,"Cruz","Huffington Post","disapproval"
"13381","2015-10-29",32,"Cruz","Huffington Post","disapproval"
"13382","2015-10-29",40,"Cruz","Huffington Post","disapproval"
"13383","2015-10-19",31,"Cruz","Huffington Post","disapproval"
"13384","2015-10-25",33,"Cruz","Huffington Post","disapproval"
"13385","2015-10-23",44,"Cruz","Huffington Post","disapproval"
"13386","2015-10-22",40,"Cruz","Huffington Post","disapproval"
"13387","2015-10-15",42,"Cruz","Huffington Post","disapproval"
"13388","2015-10-15",34,"Cruz","Huffington Post","disapproval"
"13389","2015-10-08",45,"Cruz","Huffington Post","disapproval"
"13390","2015-10-08",39,"Cruz","Huffington Post","disapproval"
"13391","2015-10-02",41,"Cruz","Huffington Post","disapproval"
"13392","2015-10-01",50,"Cruz","Huffington Post","disapproval"
"13393","2015-09-11",51,"Cruz","Huffington Post","disapproval"
"13394","2015-09-25",43,"Cruz","Huffington Post","disapproval"
"13395","2015-09-24",43,"Cruz","Huffington Post","disapproval"
"13396","2015-09-20",42,"Cruz","Huffington Post","disapproval"
"13397","2015-09-17",39,"Cruz","Huffington Post","disapproval"
"13398","2015-09-18",40,"Cruz","Huffington Post","disapproval"
"13399","2015-09-17",35,"Cruz","Huffington Post","disapproval"
"13400","2015-09-11",42,"Cruz","Huffington Post","disapproval"
"13401","2015-09-11",39,"Cruz","Huffington Post","disapproval"
"13402","2015-08-26",26,"Cruz","Huffington Post","disapproval"
"13403","2015-09-04",40,"Cruz","Huffington Post","disapproval"
"13404","2015-08-28",40,"Cruz","Huffington Post","disapproval"
"13405","2015-08-28",47,"Cruz","Huffington Post","disapproval"
"13406","2015-08-28",42,"Cruz","Huffington Post","disapproval"
"13407","2015-08-20",34,"Cruz","Huffington Post","disapproval"
"13408","2015-08-14",42,"Cruz","Huffington Post","disapproval"
"13409","2015-08-08",42,"Cruz","Huffington Post","disapproval"
"13410","2015-08-07",40,"Cruz","Huffington Post","disapproval"
"13411","2015-07-31",40,"Cruz","Huffington Post","disapproval"
"13412","2015-07-31",39,"Cruz","Huffington Post","disapproval"
"13413","2015-07-26",31,"Cruz","Huffington Post","disapproval"
"13414","2015-07-23",31,"Cruz","Huffington Post","disapproval"
"13415","2015-07-22",34,"Cruz","Huffington Post","disapproval"
"13416","2015-07-20",45,"Cruz","Huffington Post","disapproval"
"13417","2015-07-08",31,"Cruz","Huffington Post","disapproval"
"13418","2015-07-18",38,"Cruz","Huffington Post","disapproval"
"13419","2015-07-17",38,"Cruz","Huffington Post","disapproval"
"13420","2015-07-11",45,"Cruz","Huffington Post","disapproval"
"13421","2015-07-09",33,"Cruz","Huffington Post","disapproval"
"13422","2015-06-27",40,"Cruz","Huffington Post","disapproval"
"13423","2015-06-20",45,"Cruz","Huffington Post","disapproval"
"13424","2015-06-13",41,"Cruz","Huffington Post","disapproval"
"13425","2015-06-11",46,"Cruz","Huffington Post","disapproval"
"13426","2015-06-06",42,"Cruz","Huffington Post","disapproval"
"13427","2015-05-30",38,"Cruz","Huffington Post","disapproval"
"13428","2015-05-28",38,"Cruz","Huffington Post","disapproval"
"13429","2015-05-19",37,"Cruz","Huffington Post","disapproval"
"13430","2015-05-23",41,"Cruz","Huffington Post","disapproval"
"13431","2015-05-16",40,"Cruz","Huffington Post","disapproval"
"13432","2015-05-09",35,"Cruz","Huffington Post","disapproval"
"13433","2015-05-09",42,"Cruz","Huffington Post","disapproval"
"13434","2015-05-03",33,"Cruz","Huffington Post","disapproval"
"13435","2015-05-02",29,"Cruz","Huffington Post","disapproval"
"13436","2015-04-26",32,"Cruz","Huffington Post","disapproval"
"13437","2015-04-25",39,"Cruz","Huffington Post","disapproval"
"13438","2015-04-23",32,"Cruz","Huffington Post","disapproval"
"13439","2015-04-16",30,"Cruz","Huffington Post","disapproval"
"13440","2015-04-18",42,"Cruz","Huffington Post","disapproval"
"13441","2015-04-11",41,"Cruz","Huffington Post","disapproval"
"13442","2015-04-06",35,"Cruz","Huffington Post","disapproval"
"13443","2015-04-04",40,"Cruz","Huffington Post","disapproval"
"13444","2015-03-29",35,"Cruz","Huffington Post","disapproval"
"13445","2015-03-26",47,"Cruz","Huffington Post","disapproval"
"13446","2015-03-28",44,"Cruz","Huffington Post","disapproval"
"13447","2015-03-26",45,"Cruz","Huffington Post","disapproval"
"13448","2015-03-21",35,"Cruz","Huffington Post","disapproval"
"13449","2015-03-14",36,"Cruz","Huffington Post","disapproval"
"13450","2015-03-07",37,"Cruz","Huffington Post","disapproval"
"13451","2015-03-02",28,"Cruz","Huffington Post","disapproval"
"13452","2015-02-28",36,"Cruz","Huffington Post","disapproval"
"13453","2015-02-26",29,"Cruz","Huffington Post","disapproval"
"13454","2015-02-21",34,"Cruz","Huffington Post","disapproval"
"13455","2015-02-20",38,"Cruz","Huffington Post","disapproval"
"13456","2015-02-07",32,"Cruz","Huffington Post","disapproval"
"13457","2015-01-31",40,"Cruz","Huffington Post","disapproval"
"13458","2015-01-24",38,"Cruz","Huffington Post","disapproval"
"13459","2015-01-17",38,"Cruz","Huffington Post","disapproval"
"13460","2015-01-10",41,"Cruz","Huffington Post","disapproval"
"13461","2015-01-03",39,"Cruz","Huffington Post","disapproval"
"13462","2014-12-27",43,"Cruz","Huffington Post","disapproval"
"13463","2014-12-20",42,"Cruz","Huffington Post","disapproval"
"13464","2014-12-13",42,"Cruz","Huffington Post","disapproval"
"13465","2014-12-06",38,"Cruz","Huffington Post","disapproval"
"13466","2014-11-22",36,"Cruz","Huffington Post","disapproval"
"13467","2014-11-18",29,"Cruz","Huffington Post","disapproval"
"13468","2014-11-15",40,"Cruz","Huffington Post","disapproval"
"13469","2014-11-14",26,"Cruz","Huffington Post","disapproval"
"13470","2014-11-08",37,"Cruz","Huffington Post","disapproval"
"13471","2014-11-01",40,"Cruz","Huffington Post","disapproval"
"13472","2014-10-25",37,"Cruz","Huffington Post","disapproval"
"13473","2014-10-18",36,"Cruz","Huffington Post","disapproval"
"13474","2014-10-11",41,"Cruz","Huffington Post","disapproval"
"13475","2014-10-04",35,"Cruz","Huffington Post","disapproval"
"13476","2014-09-27",39,"Cruz","Huffington Post","disapproval"
"13477","2014-09-20",32,"Cruz","Huffington Post","disapproval"
"13478","2014-09-13",36,"Cruz","Huffington Post","disapproval"
"13479","2014-09-06",40,"Cruz","Huffington Post","disapproval"
"13480","2014-08-30",38,"Cruz","Huffington Post","disapproval"
"13481","2014-08-23",40,"Cruz","Huffington Post","disapproval"
"13482","2014-08-16",40,"Cruz","Huffington Post","disapproval"
"13483","2014-08-09",38,"Cruz","Huffington Post","disapproval"
"13484","2014-08-02",39,"Cruz","Huffington Post","disapproval"
"13485","2014-07-26",39,"Cruz","Huffington Post","disapproval"
"13486","2014-07-24",30,"Cruz","Huffington Post","disapproval"
"13487","2014-07-19",40,"Cruz","Huffington Post","disapproval"
"13488","2014-07-12",38,"Cruz","Huffington Post","disapproval"
"13489","2014-07-07",23,"Cruz","Huffington Post","disapproval"
"13490","2014-07-05",35,"Cruz","Huffington Post","disapproval"
"13491","2014-06-28",39,"Cruz","Huffington Post","disapproval"
"13492","2014-06-24",26,"Cruz","Huffington Post","disapproval"
"13493","2014-06-21",40,"Cruz","Huffington Post","disapproval"
"13494","2014-06-14",40,"Cruz","Huffington Post","disapproval"
"13495","2014-06-07",36,"Cruz","Huffington Post","disapproval"
"13496","2014-05-28",38,"Cruz","Huffington Post","disapproval"
"13497","2014-04-13",31,"Cruz","Huffington Post","disapproval"
"13498","2014-03-22",35,"Cruz","Huffington Post","disapproval"
"13499","2014-03-20",30,"Cruz","Huffington Post","disapproval"
"13500","2014-03-16",40,"Cruz","Huffington Post","disapproval"
"13501","2014-03-06",41,"Cruz","Huffington Post","disapproval"
"13502","2014-02-22",36,"Cruz","Huffington Post","disapproval"
"13503","2014-02-15",41,"Cruz","Huffington Post","disapproval"
"13504","2014-01-23",38,"Cruz","Huffington Post","disapproval"
"13505","2014-01-11",38,"Cruz","Huffington Post","disapproval"
"13506","2013-12-14",42,"Cruz","Huffington Post","disapproval"
"13507","2013-12-12",40,"Cruz","Huffington Post","disapproval"
"13508","2013-12-03",27,"Cruz","Huffington Post","disapproval"
"13509","2013-12-01",43,"Cruz","Huffington Post","disapproval"
"13510","2013-10-26",39,"Cruz","Huffington Post","disapproval"
"13511","2013-10-25",30,"Cruz","Huffington Post","disapproval"
"13512","2013-10-20",38,"Cruz","Huffington Post","disapproval"
"13513","2013-10-16",43,"Cruz","Huffington Post","disapproval"
"13514","2013-10-09",33,"Cruz","Huffington Post","disapproval"
"13515","2013-10-07",33,"Cruz","Huffington Post","disapproval"
"13516","2013-10-07",28,"Cruz","Huffington Post","disapproval"
"13517","2013-10-03",32,"Cruz","Huffington Post","disapproval"
"13518","2013-10-03",36,"Cruz","Huffington Post","disapproval"
"13519","2013-10-01",30,"Cruz","Huffington Post","disapproval"
"13520","2013-09-28",40,"Cruz","Huffington Post","disapproval"
"13521","2013-09-23",25,"Cruz","Huffington Post","disapproval"
"13522","2013-09-25",31,"Cruz","Huffington Post","disapproval"
"13523","2013-09-20",25,"Cruz","Huffington Post","disapproval"
"13524","2013-07-25",24,"Cruz","Huffington Post","disapproval"
"13525","2013-06-01",18,"Cruz","Huffington Post","disapproval"
"13526","2013-05-30",12,"Cruz","Huffington Post","disapproval"
"13527","2016-08-20",57,"Trump","Huffington Post","disapproval"
"13528","2016-08-18",62,"Trump","Huffington Post","disapproval"
"13529","2016-08-18",61,"Trump","Huffington Post","disapproval"
"13530","2016-08-19",62,"Trump","Huffington Post","disapproval"
"13531","2016-08-18",58,"Trump","Huffington Post","disapproval"
"13532","2016-08-13",62,"Trump","Huffington Post","disapproval"
"13533","2016-08-11",66,"Trump","Huffington Post","disapproval"
"13534","2016-08-10",63,"Trump","Huffington Post","disapproval"
"13535","2016-08-11",62,"Trump","Huffington Post","disapproval"
"13536","2016-08-08",64,"Trump","Huffington Post","disapproval"
"13537","2016-08-06",62,"Trump","Huffington Post","disapproval"
"13538","2016-08-06",63,"Trump","Huffington Post","disapproval"
"13539","2016-08-03",63,"Trump","Huffington Post","disapproval"
"13540","2016-08-05",63,"Trump","Huffington Post","disapproval"
"13541","2016-08-04",61,"Trump","Huffington Post","disapproval"
"13542","2016-08-01",64,"Trump","Huffington Post","disapproval"
"13543","2016-08-04",60,"Trump","Huffington Post","disapproval"
"13544","2016-08-01",63,"Trump","Huffington Post","disapproval"
"13545","2016-07-29",66,"Trump","Huffington Post","disapproval"
"13546","2016-08-01",66,"Trump","Huffington Post","disapproval"
"13547","2016-07-31",61,"Trump","Huffington Post","disapproval"
"13548","2016-07-30",56,"Trump","Huffington Post","disapproval"
"13549","2016-07-31",63,"Trump","Huffington Post","disapproval"
"13550","2016-07-27",62,"Trump","Huffington Post","disapproval"
"13551","2016-07-30",64,"Trump","Huffington Post","disapproval"
"13552","2016-07-29",61,"Trump","Huffington Post","disapproval"
"13553","2016-07-29",52,"Trump","Huffington Post","disapproval"
"13554","2016-07-29",57,"Trump","Huffington Post","disapproval"
"13555","2016-07-29",58,"Trump","Huffington Post","disapproval"
"13556","2016-07-25",57,"Trump","Huffington Post","disapproval"
"13557","2016-07-19",59,"Trump","Huffington Post","disapproval"
"13558","2016-07-23",61,"Trump","Huffington Post","disapproval"
"13559","2016-07-22",53,"Trump","Huffington Post","disapproval"
"13560","2016-07-22",52,"Trump","Huffington Post","disapproval"
"13561","2016-07-22",54,"Trump","Huffington Post","disapproval"
"13562","2016-07-21",59,"Trump","Huffington Post","disapproval"
"13563","2016-07-18",59,"Trump","Huffington Post","disapproval"
"13564","2016-07-21",51,"Trump","Huffington Post","disapproval"
"13565","2016-07-16",57,"Trump","Huffington Post","disapproval"
"13566","2016-07-13",60,"Trump","Huffington Post","disapproval"
"13567","2016-07-11",60,"Trump","Huffington Post","disapproval"
"13568","2016-07-15",59,"Trump","Huffington Post","disapproval"
"13569","2016-07-14",53,"Trump","Huffington Post","disapproval"
"13570","2016-07-14",60,"Trump","Huffington Post","disapproval"
"13571","2016-07-13",59,"Trump","Huffington Post","disapproval"
"13572","2016-07-12",58,"Trump","Huffington Post","disapproval"
"13573","2016-07-12",63,"Trump","Huffington Post","disapproval"
"13574","2016-07-11",64,"Trump","Huffington Post","disapproval"
"13575","2016-07-09",64,"Trump","Huffington Post","disapproval"
"13576","2016-07-07",63,"Trump","Huffington Post","disapproval"
"13577","2016-07-08",58,"Trump","Huffington Post","disapproval"
"13578","2016-07-04",62,"Trump","Huffington Post","disapproval"
"13579","2016-07-03",63,"Trump","Huffington Post","disapproval"
"13580","2016-07-05",64,"Trump","Huffington Post","disapproval"
"13581","2016-07-02",59,"Trump","Huffington Post","disapproval"
"13582","2016-07-02",65,"Trump","Huffington Post","disapproval"
"13583","2016-06-30",57,"Trump","Huffington Post","disapproval"
"13584","2016-06-26",60,"Trump","Huffington Post","disapproval"
"13585","2016-06-25",61,"Trump","Huffington Post","disapproval"
"13586","2016-06-24",62,"Trump","Huffington Post","disapproval"
"13587","2016-06-27",58,"Trump","Huffington Post","disapproval"
"13588","2016-06-24",66,"Trump","Huffington Post","disapproval"
"13589","2016-06-24",57,"Trump","Huffington Post","disapproval"
"13590","2016-06-21",57,"Trump","Huffington Post","disapproval"
"13591","2016-06-19",60,"Trump","Huffington Post","disapproval"
"13592","2016-06-18",58,"Trump","Huffington Post","disapproval"
"13593","2016-06-18",61,"Trump","Huffington Post","disapproval"
"13594","2016-06-15",57,"Trump","Huffington Post","disapproval"
"13595","2016-06-16",60,"Trump","Huffington Post","disapproval"
"13596","2016-06-15",57,"Trump","Huffington Post","disapproval"
"13597","2016-06-13",64,"Trump","Huffington Post","disapproval"
"13598","2016-06-11",59,"Trump","Huffington Post","disapproval"
"13599","2016-06-10",66,"Trump","Huffington Post","disapproval"
"13600","2016-06-09",58,"Trump","Huffington Post","disapproval"
"13601","2016-06-08",70,"Trump","Huffington Post","disapproval"
"13602","2016-06-06",61,"Trump","Huffington Post","disapproval"
"13603","2016-06-08",58,"Trump","Huffington Post","disapproval"
"13604","2016-06-08",62,"Trump","Huffington Post","disapproval"
"13605","2016-06-05",58,"Trump","Huffington Post","disapproval"
"13606","2016-06-04",60,"Trump","Huffington Post","disapproval"
"13607","2016-06-02",61,"Trump","Huffington Post","disapproval"
"13608","2016-06-01",57,"Trump","Huffington Post","disapproval"
"13609","2016-05-31",63,"Trump","Huffington Post","disapproval"
"13610","2016-05-28",60,"Trump","Huffington Post","disapproval"
"13611","2016-05-24",58,"Trump","Huffington Post","disapproval"
"13612","2016-05-24",59,"Trump","Huffington Post","disapproval"
"13613","2016-05-21",58,"Trump","Huffington Post","disapproval"
"13614","2016-05-20",61,"Trump","Huffington Post","disapproval"
"13615","2016-05-19",57,"Trump","Huffington Post","disapproval"
"13616","2016-05-01",60,"Trump","Huffington Post","disapproval"
"13617","2016-05-16",59,"Trump","Huffington Post","disapproval"
"13618","2016-05-16",60,"Trump","Huffington Post","disapproval"
"13619","2016-05-15",58,"Trump","Huffington Post","disapproval"
"13620","2016-05-14",54,"Trump","Huffington Post","disapproval"
