"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Favorable","Unfavorable","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration","Other","candidate","net"
"675","Emerson College Polling Society","2015-12-17","2015-12-20","2015-12-21T16:37:14Z",754,"Registered Voters","Automated Phone",37,44,20,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-23395","http://media.wix.com/ugd/3bebb2_b85d13974aeb4901bd68916b963cea3c.pdf","Nonpartisan","None","",1,,"Cruz",-7
"676","Quinnipiac","2015-12-16","2015-12-20","2015-12-22T14:45:28Z",1140,"Registered Voters","Live Phone",35,33,33,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23400","http://www.quinnipiac.edu/images/polling/us/us12222015_Uhkm63g.pdf","Nonpartisan","None","",1,,"Cruz",2
"677","PPP (D)","2015-12-16","2015-12-17","2015-12-21T17:15:45Z",1267,"Likely Voters","IVR/Online",34,48,18,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-23396","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_122115.pdf","Pollster","Dem","",1,,"Cruz",-14
"678","Morning Consult","2015-12-11","2015-12-15","2015-12-15T20:45:27Z",4038,"Registered Voters","Internet",32,40,29,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23333","http://big.assets.huffingtonpost.com/151203crosstabstrendTS.pdf","Nonpartisan","None","",1,,"Cruz",-8
"679","NBC/WSJ","2015-12-06","2015-12-09","2015-12-14T22:31:32Z",1000,"Adults","Live Phone",25,35,40,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23321","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/FORPOST15564%20NBCWSJ%20December%20Poll%20(PM%2012-14-15%20Release)%20(3).pdf","Nonpartisan","None","",1,,"Cruz",-10
"680","YouGov/Economist","2015-12-04","2015-12-09","2015-12-10T21:41:27Z",2000,"Adults","Internet",34,41,25,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23302","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xc6vxh6xkf/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-7
"681","Bloomberg/Purple Strategies","2015-12-08","2015-12-08","2015-12-11T21:29:11Z",605,"Likely Voters","Internet",31,47,,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-purple-strategies-23306","https://www.scribd.com/doc/292796480/Bloomberg-Politics-Purple-Strategies-Trump-poll","Nonpartisan","None","",1,,"Cruz",-16
"682","AP-GfK (web)","2015-12-03","2015-12-07","2015-12-15T04:53:13Z",1007,"Adults","Internet",24,37,39,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-23325","http://ap-gfkpoll.com/main/wp-content/uploads/2015/12/AP-GfK_Poll_December-2015-Final-topline_GOP.pdf","Nonpartisan","None","",1,,"Cruz",-13
"683","Morning Consult","2015-12-03","2015-12-07","2015-12-08T22:24:57Z",2047,"Registered Voters","Internet",34,37,28,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23281","http://big.assets.huffingtonpost.com/151201crosstabstrend_AP.pdf","Nonpartisan","None","",1,,"Cruz",-3
"684","Suffolk/USA Today","2015-12-02","2015-12-06","2015-12-08T20:23:37Z",1000,"Likely Voters","Live Phone",34,43,23,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-23278","http://www.suffolk.edu/academics/10741.php","Nonpartisan","None","",1,,"Cruz",-9
"685","MSNBC/Telemundo/Marist","2015-11-15","2015-12-02","2015-12-07T20:25:31Z",3121,"Adults","Live Phone",23,29,30,"http://elections.huffingtonpost.com/pollster/polls/msnbc-telemundo-marist-23269","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/MSNBC_Telemundo_Marist%20Poll_National%20Annotated%20Questionnaire_December%202015.pdf","Sponsor","Other","",1,,"Cruz",-6
"686","Quinnipiac","2015-11-23","2015-11-30","2015-12-02T12:04:16Z",1453,"Registered Voters","Live Phone",33,33,33,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23247","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2307","Nonpartisan","None","",1,,"Cruz",0
"687","YouGov/Economist","2015-11-19","2015-11-23","2015-11-25T16:07:28Z",2000,"Adults","Internet",34,43,24,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23236","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lz22bazbpo/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-9
"688","PPP (D)","2015-11-16","2015-11-17","2015-11-19T15:33:58Z",1360,"Likely Voters","IVR/Online",33,45,22,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-23175","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_111915.pdf","Pollster","Dem","",1,,"Cruz",-12
"689","Morning Consult","2015-11-13","2015-11-16","2015-11-17T15:45:58Z",2001,"Registered Voters","Internet",29,40,31,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23158","http://big.assets.huffingtonpost.com/151104crosstabstrend.pdf","Nonpartisan","None","",1,,"Cruz",-11
"690","Public Religion Research Institute ","2015-11-06","2015-11-10","2015-11-23T16:21:55Z",1010,"Adults","Live Phone",21,41,37,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23214","http://big.assets.huffingtonpost.com/AVS-2015-Election-Supplement-Topline.pdf","Nonpartisan","None","",1,,"Cruz",-20
"691","YouGov/Economist","2015-11-05","2015-11-09","2015-11-10T19:47:52Z",2000,"Adults","Internet",33,41,26,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23109","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1hhz66took/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-8
"692","Morning Consult","2015-11-05","2015-11-08","2015-11-10T17:55:28Z",4002,"Registered Voters","Internet",29,39,32,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23107","http://big.assets.huffingtonpost.com/151102crosstabstrend.pdf","Nonpartisan","None","",1,,"Cruz",-10
"693","ABC/Post","2015-11-04","2015-11-08","2015-11-10T20:41:04Z",1023,"Adults","Live Phone",34,44,23,"http://elections.huffingtonpost.com/pollster/polls/abc-post-23111","http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-nov-4-8-2015/1869/","Nonpartisan","None","",1,,"Cruz",-10
"694","Quinnipiac","2015-10-29","2015-11-02","2015-11-04T16:23:42Z",1144,"Registered Voters","Live Phone",35,32,34,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23059","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2299","Nonpartisan","None","",1,,"Cruz",3
"695","Morning Consult","2015-10-29","2015-11-01","2015-11-03T20:26:04Z",2350,"Registered Voters","Internet",28,40,31,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23056","http://morningconsult.com/polls/new-poll-jeb-bushs-popularity-problem-trump-down-for-second-consecutive-week/","Nonpartisan","None","",1,,"Cruz",-12
"696","Gallup","2015-10-19","2015-11-01","2015-11-05T17:12:03Z",7121,"Adults","Live Phone",28,31,,"http://elections.huffingtonpost.com/pollster/polls/gallup-23074","http://www.gallup.com/poll/186494/carson-best-liked-presidential-candidates.aspx","Nonpartisan","None","",1,,"Cruz",-3
"697","NBC/WSJ","2015-10-25","2015-10-29","2015-11-03T16:49:49Z",1000,"Adults","Live Phone",23,33,44,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23052","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15463%20NBCWSJ%20Late%20October%20Poll%2011-3-15%20Release.pdf","Nonpartisan","None","",1,,"Cruz",-10
"698","YouGov/Economist","2015-10-23","2015-10-27","2015-10-28T18:31:56Z",2000,"Adults","Internet",29,44,27,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23014","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/uobybjo8zg/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-15
"699","Morning Consult","2015-10-22","2015-10-25","2015-10-26T21:12:38Z",1689,"Registered Voters","Internet",31,40,29,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22994","http://morningconsult.com/wp-content/uploads/2015/10/151006_topline_trend_v2_AP.pdf","Nonpartisan","None","",1,,"Cruz",-9
"700","Morning Consult","2015-10-15","2015-10-19","2015-10-20T17:31:31Z",2017,"Registered Voters","Internet",22,42,35,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22950","http://morningconsult.com/wp-content/uploads/2015/10/151005_topline_trend_v2_TS.pdf","Nonpartisan","None","",1,,"Cruz",-20
"701","NBC/WSJ","2015-10-15","2015-10-18","2015-10-19T21:14:25Z",1000,"Adults","Live Phone",21,34,45,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22940","http://www.scribd.com/doc/286132150/15462-NBCWSJ-Oct-Poll-Final","Nonpartisan","None","",1,,"Cruz",-13
"702","YouGov/Economist","2015-10-08","2015-10-12","2015-10-14T21:33:18Z",2000,"Adults","Internet",30,45,26,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22920","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/oxhxk3fmq5/econTabReport.pdf","Nonpartisan","None","",1,,"Cruz",-15
"703","Morning Consult","2015-10-08","2015-10-12","2015-10-13T15:48:47Z",2002,"Registered Voters","Internet",27,39,34,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22902","http://morningconsult.com/2015/10/ahead-of-debate-clinton-lead-grows/","Nonpartisan","None","",1,,"Cruz",-12
"704","Morning Consult","2015-10-02","2015-10-05","2015-10-06T21:34:11Z",1983,"Registered Voters","Internet",29,41,30,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22858","http://morningconsult.com/wp-content/uploads/2015/10/151001_topline_trend_v1_AP.pdf","Nonpartisan","None","",1,,"Cruz",-12
"705","PPP (D)","2015-10-01","2015-10-04","2015-10-06T18:56:54Z",1338,"Likely Voters","IVR/Online",28,50,22,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22856","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NationalGOP_100615.pdf","Pollster","Dem","",1,,"Cruz",-22
"706","Public Religion Research Institute ","2015-09-11","2015-10-04","2015-11-23T17:38:53Z",2695,"Adults","Live Phone",20,51,29,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23215","http://big.assets.huffingtonpost.com/American-Values-Survey-2015-Topline1.pdf","Nonpartisan","None","",1,,"Cruz",-31
"707","YouGov/Economist","2015-09-25","2015-09-29","2015-10-01T17:56:51Z",2000,"Adults","Internet",33,43,25,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22829","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/8w1iq3dtp2/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-10
"708","Morning Consult","2015-09-24","2015-09-27","2015-09-29T19:48:50Z",1543,"Registered Voters","Internet",25,43,31,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22814","http://morningconsult.com/wp-content/uploads/2015/09/150908_topline_trend_v1_JW.pdf","Nonpartisan","None","",1,,"Cruz",-18
"709","FOX","2015-09-20","2015-09-22","2015-09-28T17:37:40Z",1013,"Registered Voters","Live Phone",29,42,29,"http://elections.huffingtonpost.com/pollster/polls/fox-22805","http://www.foxnews.com/politics/interactive/2015/09/25/fox-news-poll-clinton-and-carson-favorability-ratings/","Nonpartisan","None","",1,,"Cruz",-13
"710","Quinnipiac","2015-09-17","2015-09-21","2015-09-24T22:15:01Z",787,"Registered Voters","Live Phone",29,39,32,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22788","http://www.quinnipiac.edu/images/polling/us/us09242015_ui47mfb.pdf","Nonpartisan","None","",1,,"Cruz",-10
"711","Morning Consult","2015-09-18","2015-09-20","2015-09-22T18:00:14Z",4033,"Registered Voters","Internet",27,40,33,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22772","http://morningconsult.com/wp-content/uploads/2015/09/150907_topline_MERGED-trend_v2_KD.pdf","Nonpartisan","None","",1,,"Cruz",-13
"712","CNN","2015-09-17","2015-09-19","2015-09-21T19:19:45Z",1006,"Adults","Live Phone",27,35,38,"http://elections.huffingtonpost.com/pollster/polls/cnn-22761","http://i2.cdn.turner.com/cnn/2015/images/09/20/rel10a.pdf","Nonpartisan","None","",1,,"Cruz",-8
"713","YouGov/Economist","2015-09-11","2015-09-15","2015-09-18T19:51:56Z",2000,"Adults","Internet",32,42,26,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22749","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lq8iyjss0l/econToplines_v1.pdf","Nonpartisan","None","",1,,"Cruz",-10
"714","Morning Consult","2015-09-11","2015-09-13","2015-09-18T21:11:34Z",2023,"Registered Voters","Internet",26,39,35,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22752","http://morningconsult.com/wp-content/uploads/2015/09/150904_topline_trend_v1_JW.pdf","Nonpartisan","None","",1,,"Cruz",-13
"715","MSNBC/Telemundo/Marist","2015-08-26","2015-09-09","2015-09-21T20:38:43Z",1689,"Adults","Live Phone",22,26,53,"http://elections.huffingtonpost.com/pollster/polls/msnbc-telemundo-marist-22763","http://maristpoll.marist.edu/wp-content/misc/usapolls/us150826/2016/MSNBC_Telemundo_Marist%20Poll_National%20Release%20and%20Tables_September%202015.pdf","Sponsor","Other","",1,,"Cruz",-4
"716","Morning Consult","2015-09-04","2015-09-07","2015-09-11T01:39:52Z",2008,"Registered Voters","Internet",31,40,30,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22703","http://morningconsult.com/wp-content/uploads/2015/09/150902_crosstabs_trend_v2_JW.pdf","Nonpartisan","None","",1,,"Cruz",-9
"717","YouGov/Economist","2015-08-28","2015-09-01","2015-09-04T00:34:09Z",2000,"Adults","Internet",32,40,27,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22659","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k24hv9t9fv/econTabReport.pdf","Nonpartisan","None","",1,,"Cruz",-8
"718","PPP (D)","2015-08-28","2015-08-30","2015-09-03T20:26:01Z",1254,"Likely Voters","IVR/Online",29,47,24,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22654","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_90315.pdf","Pollster","Dem","",1,,"Cruz",-18
"719","Morning Consult","2015-08-28","2015-08-30","2015-09-01T01:22:28Z",2015,"Registered Voters","Internet",25,42,32,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22640","http://morningconsult.com/wp-content/uploads/2015/08/150805_topline_trend_v2_JW.pdf","Nonpartisan","None","",1,,"Cruz",-17
"720","Quinnipiac","2015-08-20","2015-08-25","2015-08-27T21:51:28Z",781,"Registered Voters","Live Phone",28,34,38,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22621","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2274","Nonpartisan","None","",1,,"Cruz",-6
"721","YouGov/Economist","2015-08-14","2015-08-18","2015-08-24T22:05:33Z",2000,"Adults","Internet",33,42,24,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22602","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zvg9hui4lt/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-9
"722","YouGov/Economist","2015-08-08","2015-08-10","2015-08-12T01:47:42Z",1000,"Adults","Internet",28,42,29,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22545","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ykesdk07ow/toplines_OPI_Debate_20150811.pdf","Nonpartisan","None","",1,,"Cruz",-14
"723","Morning Consult","2015-08-07","2015-08-09","2015-08-10T21:38:34Z",2029,"Registered Voters","Internet",28,40,32,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22526","http://big.assets.huffingtonpost.com/150802_topline_trend_v4_KD.pdf","Nonpartisan","None","",1,,"Cruz",-12
"724","YouGov/Economist","2015-07-31","2015-08-04","2015-08-08T00:04:51Z",2000,"Adults","Internet",31,40,29,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22517","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/shw46tymfa/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-9
"725","Morning Consult","2015-07-31","2015-08-03","2015-08-05T01:23:17Z",2069,"Registered Voters","Internet",26,39,35,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22487","http://big.assets.huffingtonpost.com/150706_crosstabs_trend_v1_JW.pdf","Nonpartisan","None","",1,,"Cruz",-13
"726","NBC/WSJ","2015-07-26","2015-07-30","2015-08-04T23:02:18Z",1000,"Adults","Live Phone",19,31,50,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22480","http://msnbcmedia.msn.com/i/MSNBC/Components/Photo/_new/15313JulyNBCWSJPOLL.pdf","Nonpartisan","None","",1,,"Cruz",-12
"727","Quinnipiac","2015-07-23","2015-07-28","2015-08-04T00:57:21Z",822,"Registered Voters","Live Phone",28,31,42,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22468","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2264","Nonpartisan","None","",1,,"Cruz",-3
"728","CNN","2015-07-22","2015-07-25","2015-07-27T22:01:00Z",1017,"Adults","Live Phone",22,34,44,"http://elections.huffingtonpost.com/pollster/polls/cnn-22434","http://www.cnn.com/2015/07/26/politics/cnn-orc-data/index.html","Nonpartisan","None","",1,,"Cruz",-12
"729","PPP (D)","2015-07-20","2015-07-21","2015-07-23T17:55:26Z",1087,"Likely Voters","IVR/Online",27,45,28,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22415","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_72215.pdf","Pollster","Dem","",1,,"Cruz",-18
"730","Gallup","2015-07-08","2015-07-21","2015-07-27T22:49:19Z",2374,"Adults","Live Phone",27,31,42,"http://elections.huffingtonpost.com/pollster/polls/gallup-22435","http://www.gallup.com/poll/184346/sanders-surges-clinton-sags-favorability.aspx","Nonpartisan","None","",1,,"Cruz",-4
"731","YouGov/Economist","2015-07-18","2015-07-20","2015-07-24T21:26:18Z",1000,"Adults","Internet",33,38,29,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22429","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3k13yqulyj/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-5
"732","Morning Consult","2015-07-17","2015-07-20","2015-07-21T23:09:47Z",1978,"Registered Voters","Internet",27,38,36,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22405","http://big.assets.huffingtonpost.com/MCTOPLINE.pdf","Nonpartisan","None","",1,,"Cruz",-11
"733","YouGov/Economist","2015-07-11","2015-07-13","2015-07-21T00:44:16Z",1000,"Adults","Internet",28,45,27,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22399","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k725t67g2r/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-17
"734","AP-GfK (web)","2015-07-09","2015-07-13","2015-07-17T01:00:52Z",1004,"Adults","Internet",20,33,47,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-22385","http://ap-gfkpoll.com/main/wp-content/uploads/2015/07/AP-GfK_Poll_July_2015-Topline_Clinton.pdf","Nonpartisan","None","",1,,"Cruz",-13
"735","YouGov/Economist","2015-06-27","2015-06-29","2015-07-08T21:18:39Z",1000,"Adults","Internet",34,40,26,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22351","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/n374n92qq2/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-6
"736","YouGov/Economist","2015-06-20","2015-06-22","2015-06-26T01:02:40Z",1000,"Adults","Internet",29,45,25,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22307","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3mzoa6wjyu/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-16
"737","YouGov/Economist","2015-06-13","2015-06-15","2015-06-19T01:30:26Z",1000,"Adults","Internet",32,41,27,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22274","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/g9muoqvxm6/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-9
"738","PPP (D)","2015-06-11","2015-06-14","2015-06-17T18:33:48Z",1129,"Likely Voters","IVR/Online",27,46,27,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22258","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_61615.pdf","Pollster","Dem","",1,,"Cruz",-19
"739","YouGov/Economist","2015-06-06","2015-06-08","2015-06-15T20:42:10Z",1000,"Adults","Internet",31,42,27,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22248","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/281jk9x886/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-11
"740","YouGov/Economist","2015-05-30","2015-06-01","2015-06-05T21:23:20Z",1000,"Adults","Internet",32,38,30,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22217","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/cag4fa5ywq/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-6
"741","ABC/Post","2015-05-28","2015-05-31","2015-06-02T20:49:13Z",1001,"Adults","Live Phone",25,38,37,"http://elections.huffingtonpost.com/pollster/polls/abc-post-22200","http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-may-28-31-2015/1718/","Nonpartisan","None","",1,,"Cruz",-13
"742","Quinnipiac","2015-05-19","2015-05-26","2015-05-28T21:52:59Z",856,"Registered Voters","Live Phone",28,37,35,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22181","http://www.quinnipiac.edu/images/polling/us/us05282015_U32trdf.pdf","Nonpartisan","None","",1,,"Cruz",-9
"743","YouGov/Economist","2015-05-23","2015-05-25","2015-05-29T00:54:02Z",1000,"Adults","Internet",32,41,28,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22187","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/olylop8wkh/econTabReport.pdf","Nonpartisan","None","",1,,"Cruz",-9
"744","YouGov/Economist","2015-05-16","2015-05-18","2015-05-21T18:06:44Z",1000,"Adults","Internet",33,40,27,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22158","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/x49co5j749/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-7
"745","FOX","2015-05-09","2015-05-12","2015-05-14T19:14:57Z",1006,"Registered Voters","Live Phone",27,35,38,"http://elections.huffingtonpost.com/pollster/polls/fox-22132","http://www.foxnews.com/politics/interactive/2015/05/13/fox-news-polls-huckabee-seen-as-more-ethical-than-most-clintons-favorable-slips/","Nonpartisan","None","",1,,"Cruz",-8
"746","YouGov/Economist","2015-05-09","2015-05-11","2015-05-18T18:33:35Z",1000,"Adults","Internet",35,42,23,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22144","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ihh96gmssm/econTabReport.pdf","Nonpartisan","None","",1,,"Cruz",-7
"747","GWU/Battleground","2015-05-03","2015-05-06","2015-05-12T01:52:33Z",1000,"Registered Voters","Live Phone",25,33,42,"http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-22124","https://mediarelations.gwu.edu/sites/mediarelations.gwu.edu/files/GWBattlegroundPoll57-toplines.pdf","Nonpartisan","None","",1,,"Cruz",-8
"748","YouGov/Economist","2015-05-02","2015-05-04","2015-05-07T02:08:35Z",1000,"Adults","Internet",18,29,53,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22109","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/bjly8n5o7b/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-11
"749","NBC/WSJ","2015-04-26","2015-04-30","2015-05-05T17:31:12Z",1000,"Adults","Live Phone",17,32,51,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22096","http://online.wsj.com/public/resources/documents/WSJNBCpoll05042015.pdf","Nonpartisan","None","",1,,"Cruz",-15
"750","YouGov/Economist","2015-04-25","2015-04-27","2015-05-01T23:25:02Z",1000,"Adults","Internet",33,39,27,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22090","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1i8b982g6q/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-6
"751","AP-GfK (web)","2015-04-23","2015-04-27","2015-05-02T00:41:19Z",1077,"Adults","Internet",18,32,51,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-22091","http://ap-gfkpoll.com/main/wp-content/uploads/2015/05/AP-GfK_Poll_April_2015_Topline_Politics_Clinton.pdf","Nonpartisan","None","",1,,"Cruz",-14
"752","Quinnipiac","2015-04-16","2015-04-21","2015-04-23T18:55:11Z",1353,"Registered Voters","Live Phone",25,30,44,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22054","http://www.quinnipiac.edu/images/polling/us/us04232015_Uknh62d.pdf","Nonpartisan","None","",1,,"Cruz",-5
"753","YouGov/Economist","2015-04-18","2015-04-20","2015-04-23T20:19:36Z",1000,"Adults","Internet",34,42,24,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22055","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3nogobkv8t/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-8
"754","YouGov/Economist","2015-04-11","2015-04-13","2015-04-16T00:21:33Z",1000,"Adults","Internet",32,41,27,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22021","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/22yxwjir5z/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-9
"755","Bloomberg/Selzer","2015-04-06","2015-04-08","2015-04-17T22:18:05Z",1008,"Adults","Live Phone",30,35,35,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-22029","http://images.businessweek.com/cms/2015-04-15/150416_bloomberg_public_v2-837465.pdf","Nonpartisan","None","",1,,"Cruz",-5
"756","YouGov/Economist","2015-04-04","2015-04-06","2015-04-15T23:30:32Z",1000,"Adults","Internet",36,40,25,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22020","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qjpwkh2yvr/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-4
"757","FOX","2015-03-29","2015-03-31","2015-04-03T21:16:49Z",1025,"Registered Voters","Live Phone",29,35,36,"http://elections.huffingtonpost.com/pollster/polls/fox-21968","http://www.foxnews.com/politics/interactive/2015/04/02/fox-news-poll-more-families-feel-worse-than-better-as-result-obamacare-walker/","Nonpartisan","None","",1,,"Cruz",-6
"758","PPP (D)","2015-03-26","2015-03-31","2015-04-07T19:48:07Z",989,"Likely Voters","IVR/Online",31,47,22,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-21983","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_40715.pdf","Pollster","Dem","",1,,"Cruz",-16
"759","YouGov/Economist","2015-03-28","2015-03-30","2015-04-03T23:02:36Z",1000,"Adults","Internet",34,44,22,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21970","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b242i919cj/econToplines.pdf","Nonpartisan","None","",1,,"Cruz",-10
